Tree,N,Mediana tempo (s)
BST,1072267,1.2499949662014842e-06
BST,1176811,1.1664960766211152e-06
BST,1291549,1.270498614758253e-06
BST,1417474,1.0629883036017418e-06
BST,1555676,1.1250085663050413e-06
BST,1707352,1.1460069799795747e-06
BST,1873817,1.187509042210877e-06
BST,2056512,1.167005393654108e-06
BST,2257019,1.3125099940225482e-06
BST,2477076,1.1460069799795747e-06
BST,2718588,1.2295058695599437e-06
BST,2983647,1.0834919521585107e-06
BST,3274549,1.1664960766211152e-06
BST,3593813,1.2914970284327865e-06
BST,3944206,1.1250085663050413e-06
BST,4328761,1.2085074558854103e-06
BST,4750810,1.2500095181167126e-06
BST,5214008,1.1460069799795747e-06
BST,5722367,1.3120006769895554e-06
BST,6280291,1.4164979802444577e-06
BST,6892612,1.2499949662014842e-06
BST,7564633,1.3544922694563866e-06
BST,8302175,1.4789984561502934e-06
BST,9111627,1.3329990906640887e-06
BST,10000000,1.3540120562538505e-06
AVL,1000,5.061985575594008e-06
AVL,1097,5.353984306566417e-06
AVL,1204,5.6875142036005855e-06
AVL,1321,5.29149838257581e-06
AVL,1450,5.021007382310927e-06
AVL,1592,6.228990969248116e-06
AVL,1747,5.95799065195024e-06
AVL,1917,5.895999493077397e-06
AVL,2104,6.104499334469438e-06
AVL,2310,6.249989382922649e-06
AVL,2535,6.062997272238135e-06
AVL,2782,6.208516424521804e-06
AVL,3053,7.021008059382439e-06
AVL,3351,6.35450123809278e-06
AVL,3678,5.9789890656247735e-06
AVL,4037,6.208487320691347e-06
AVL,4430,6.583504728041589e-06
AVL,4862,6.666494300588965e-06
AVL,5336,6.665999535471201e-06
AVL,5857,6.3954939832910895e-06
AVL,6428,6.958493031561375e-06
AVL,7054,7.021502824500203e-06
AVL,7742,6.604503141716123e-06
AVL,8497,6.4589985413476825e-06
AVL,9326,7.541500963270664e-06
AVL,10235,7.208000170066953e-06
AVL,11233,7.729511708021164e-06
AVL,12328,7.64650758355856e-06
AVL,13530,6.87548890709877e-06
AVL,14849,7.228998583741486e-06
AVL,16297,7.3334958869963884e-06
AVL,17886,7.0829992182552814e-06
