Tree,N,Mediana tempo (s)
AVL,19630,8.199500030059426e-06
AVL,21544,8.460000003651658e-06
AVL,23644,8.908999973300524e-06
AVL,25950,8.21800000494477e-06
AVL,28480,8.489499975894432e-06
AVL,31257,9.379499999795371e-06
AVL,34304,9.596499978670181e-06
AVL,37649,8.590499987803923e-06
AVL,41320,9.487499994520476e-06
AVL,45348,9.465499999805616e-06
AVL,49770,8.249500012880162e-06
AVL,54622,8.659999934934604e-06
AVL,59948,1.0037000038209953e-05
AVL,65793,9.181999985230505e-06
AVL,72208,8.578500001021894e-06
AVL,79248,9.319500009041803e-06
AVL,86974,8.60599999441547e-06
AVL,95454,9.024999997109262e-06
AVL,104761,1.0477499984062888e-05
AVL,114975,1.011149993246363e-05
AVL,126185,8.659000002353423e-06
AVL,138488,1.0359499924561533e-05
AVL,151991,1.0350500019740139e-05
AVL,166810,1.20580000384507e-05
AVL,183073,1.177300003973869e-05
AVL,200923,1.2158000004092173e-05
AVL,220513,1.0890499993365665e-05
AVL,242012,1.1313499953757855e-05
AVL,265608,1.1937500005387847e-05
AVL,291505,1.1841499997444771e-05
AVL,319926,1.1822499971003708e-05
AVL,351119,1.2602999959199224e-05
AVL,385352,1.2954499993611535e-05
AVL,422924,1.236600007814559e-05
AVL,464158,1.2928000046485977e-05
AVL,509413,1.306199999362434e-05
AVL,559081,1.4148999980534427e-05
AVL,613590,1.6966999965006835e-05
AVL,673415,1.5435000022989698e-05
AVL,739072,1.55690000838149e-05
AVL,811130,1.627699998607568e-05
AVL,890215,1.8672000010155898e-05
AVL,977009,1.732499993067904e-05
AVL,1072267,2.1680500026377558e-05
AVL,1176811,1.763050011049927e-05
AVL,1291549,1.8844000010176387e-05
AVL,1417474,1.4893000070514972e-05
AVL,1555676,2.6150000053348776e-05
AVL,1707352,2.3369000018647057e-05
AVL,1873817,1.9071499991696328e-05
AVL,2056512,2.4148000079549092e-05
AVL,2257019,2.6645499929145444e-05
AVL,2477076,4.372300008981256e-05
AVL,2718588,3.1001000252217636e-05
AVL,2983647,3.003500000886561e-05
AVL,3274549,4.3123000068590045e-05
AVL,3593813,3.754899989871774e-05
AVL,3944206,3.480049986137601e-05
AVL,4328761,3.6810499977946165e-05
AVL,4750810,3.5521999961929396e-05
AVL,5214008,3.815499985648785e-05
AVL,5722367,3.891699998348486e-05
AVL,6280291,3.943799993066932e-05
AVL,6892612,3.5522999951353995e-05
AVL,7564633,3.750399991986342e-05
AVL,8302175,3.7265499940986047e-05
AVL,9111627,3.454550005699275e-05
AVL,10000000,3.557800027920166e-05
RBT,1000,1.5154999459809915e-06
