Tree,N,Mediana tempo (s)
AVL,977009,1.0500021744519472e-05
AVL,1072267,9.645998943597078e-06
AVL,1176811,9.125476935878396e-06
AVL,1291549,1.0332994861528277e-05
AVL,1417474,9.47900116443634e-06
AVL,1555676,1.0083516826853156e-05
AVL,1707352,1.0999501682817936e-05
AVL,1873817,1.0978983482345939e-05
AVL,2056512,1.179150422103703e-05
AVL,2257019,1.0916992323473096e-05
AVL,2477076,1.139598316513002e-05
AVL,2718588,1.1625001206994057e-05
AVL,2983647,1.2353993952274323e-05
AVL,3274549,1.1812022421509027e-05
AVL,3593813,1.0750023648142815e-05
AVL,3944206,1.1583033483475447e-05
AVL,4328761,1.068698475137353e-05
AVL,4750810,1.1270982213318348e-05
AVL,5214008,1.1375523172318935e-05
AVL,5722367,1.0437477612867951e-05
AVL,6280291,1.110398443415761e-05
AVL,6892612,1.2145988876000047e-05
AVL,7564633,1.097950735129416e-05
AVL,8302175,1.127051655203104e-05
AVL,9111627,1.058299676515162e-05
AVL,10000000,1.0978983482345939e-05
RBT,1000,1.2709933798760176e-06
RBT,1097,1.0830117389559746e-06
RBT,1204,2.874992787837982e-06
RBT,1321,8.539936970919371e-07
RBT,1450,8.955248631536961e-07
RBT,1592,1.2919772416353226e-06
RBT,1747,9.59029421210289e-07
RBT,1917,9.999494068324566e-07
RBT,2104,1.00000761449337e-06
RBT,2310,8.959905244410038e-07
RBT,2535,1.0005023796111345e-06
RBT,2782,1.0619696695357561e-06
RBT,3053,9.795185178518295e-07
RBT,3351,9.589712135493755e-07
RBT,3678,9.164796210825443e-07
RBT,4037,9.369687177240849e-07
RBT,4430,1.0620278771966696e-06
RBT,4862,1.3959943316876888e-06
RBT,5336,1.00000761449337e-06
RBT,5857,1.00000761449337e-06
RBT,6428,1.1255033314228058e-06
RBT,7054,1.146021531894803e-06
RBT,7742,1.0414805728942156e-06
RBT,8497,1.1250085663050413e-06
RBT,9326,1.1250085663050413e-06
RBT,10235,1.166015863418579e-06
RBT,11233,1.167005393654108e-06
RBT,12328,1.0830117389559746e-06
RBT,13530,1.0420335456728935e-06
RBT,14849,1.1459924280643463e-06
RBT,16297,1.4789984561502934e-06
RBT,17886,1.374981366097927e-06
RBT,19630,1.0834774002432823e-06
RBT,21544,1.4789984561502934e-06
RBT,23644,1.5829864423722029e-06
RBT,25950,1.1665106285363436e-06
RBT,28480,1.3335375115275383e-06
RBT,31257,1.1454685591161251e-06
RBT,34304,1.2500095181167126e-06
RBT,37649,1.2084783520549536e-06
RBT,41320,1.1459924280643463e-06
RBT,45348,1.7290003597736359e-06
RBT,49770,1.1665106285363436e-06
RBT,54622,1.5415134839713573e-06
RBT,59948,1.3124954421073198e-06
RBT,65793,1.3129902072250843e-06
RBT,72208,1.0420044418424368e-06
RBT,79248,1.4170072972774506e-06
RBT,86974,1.4379911590367556e-06
RBT,95454,1.500011421740055e-06
RBT,104761,1.5205005183815956e-06
RBT,114975,1.437496393918991e-06
RBT,126185,1.5005061868578196e-06
RBT,138488,1.5624682419002056e-06
RBT,151991,1.3334793038666248e-06
RBT,166810,1.228967448696494e-06
RBT,183073,1.2915115803480148e-06
RBT,200923,1.4789693523198366e-06
RBT,220513,1.458480255678296e-06
RBT,242012,1.1874944902956486e-06
RBT,265608,1.3745157048106194e-06
RBT,291505,1.5830155462026596e-06
RBT,319926,1.47902755998075e-06
RBT,351119,2.1040032152086496e-06
RBT,385352,1.4164834283292294e-06
RBT,422924,1.146021531894803e-06
RBT,464158,1.583510311320424e-06
RBT,509413,1.5619734767824411e-06
RBT,559081,1.2084783520549536e-06
RBT,613590,1.2085074558854103e-06
RBT,673415,1.437496393918991e-06
RBT,739072,1.3754761312156916e-06
RBT,811130,2.2704771254211664e-06
RBT,890215,1.437496393918991e-06
RBT,977009,1.7290003597736359e-06
RBT,1072267,1.3124954421073198e-06
RBT,1176811,1.2710224837064743e-06
RBT,1291549,1.416512532159686e-06
RBT,1417474,1.4170072972774506e-06
RBT,1555676,1.2915115803480148e-06
RBT,1707352,2.18802597373724e-06
RBT,1873817,1.5205005183815956e-06
RBT,2056512,1.8750142771750689e-06
RBT,2257019,1.333013642579317e-06
RBT,2477076,1.2915406841784716e-06
RBT,2718588,1.2915115803480148e-06
RBT,2983647,1.6045232769101858e-06
RBT,3274549,1.9379949662834406e-06
RBT,3593813,1.6039703041315079e-06
RBT,3944206,1.6039703041315079e-06
RBT,4328761,1.3335084076970816e-06
RBT,4750810,1.4999823179095984e-06
RBT,5214008,1.395965227857232e-06
RBT,5722367,1.3750395737588406e-06
RBT,6280291,2.479500835761428e-06
RBT,6892612,1.3750104699283838e-06
RBT,7564633,2.333021257072687e-06
RBT,8302175,1.8334831111133099e-06
RBT,9111627,3.875000402331352e-06
RBT,10000000,1.916516339406371e-06
